,rtrating,numofreviews,link,movietitle,year,AspectRatio,BoxOffice(GrossUSA),Director,Distributor,Genre,OriginalLanguage,Producer,Rating,ReleaseDate(Streaming),Runtime,SoundMix,Writer,MovieRuntime,ReleaseDate(Theater),ReleaseType,streamingornot,releasetype
0,98 ,464,/m/parasite_2019,Parasite Gisaengchung,2019,Scope(2.35:1),53400000.0,Bong Joon-ho,Neon,Mystery&thriller,Korean,"Kwak Sin-ae, Moon Yanggwon",R,"Oct11,2019",2h12m,"Dolby Atmos, Dolby Digital","Bong Joon-ho, Han Jinwon",132.0,"Nov1,2019 ",wide,1,1
1,94 ,547,/m/avengers_endgame,Avengers: Endgame,2019,Scope(2.35:1),858400000.0,"Anthony Russo, Joe Russo",Walt Disney,Sci-fi,English,Kevin Feige,PG-13,"Jul30,2019",3h1m,"Dolby Atmos, D T S, Dolby Digital, S D D S","Christopher Markus, Stephen Mc Feely",181.0,"Apr26,2019 ",wide,1,1
2,97 ,467,/m/knives_out,Knives Out,2019,Flat(1.85:1),165400000.0,Rian Johnson,Lionsgate Films,Mystery&thriller,English,"Rian Johnson, Ram Bergman, Jonathan Golfman, Brye Adler",PG-13,"Jun12,2020",2h10m,Dolby,Rian Johnson,130.0,"Nov27,2019 ",wide,1,1
3,93 ,553,/m/us_2019,Us,2019,Scope(2.35:1),175000000.0,Jordan Peele,Universal Pictures,Mystery&thriller,English,"Jordan Peele, Sean Mc Kittrick, Jason Blum, Ian Cooper",R,"Jun4,2019",1h56m,"Dolby Atmos, D T S",Jordan Peele,116.0,"Mar22,2019 ",wide,1,1
4,97 ,453,/m/toy_story_4,Toy Story 4,2019,Scope(2.35:1),434000000.0,Josh Cooley,Walt Disney,Kids&family,English,"Mark Nielsen, Jonas Rivera, Galyn Susman",G,"Oct1,2019",1h40m,"D T S, Dolby Digital, Dolby Atmos","Andrew Stanton, Stephany Folsom",100.0,"Jun21,2019 ",wide,1,1
5,95 ,455,/m/the_irishman,The Irishman,2019,Flat(1.85:1),,Martin Scorsese,Netflix,Crime,English,"Martin Scorsese, Robert De Niro, Jane Rosenthal, Gastón Pavlovich, Randall Emmett, Emma Tillinger Koskoff, Gerald Chamales, Irwin Winkler, Troy Allen",R,"Nov27,2019",3h29m,Dolby Atmos,Steven Zaillian,209.0,"Nov1,2019 ",limited,1,0
6,95 ,425,/m/little_women_2019,Little Women,2019,Flat(1.85:1),108100000.0,Greta Gerwig,Sony Pictures Entertainment,Drama,English,"Denise Di Novi, Amy Pascal, Robin Swicord",PG,"Dec25,2019",2h15m,Dolby Atmos,Greta Gerwig,135.0,"Dec25,2019 ",wide,1,1
7,96 ,377,/m/booksmart,Booksmart,2019,Scope(2.35:1),22700000.0,Olivia Wilde,Annapurna Pictures,Comedy,English,"Megan Ellison, Jessica Elbaum, Katie Silberman, Chelsea Barnard, David Distenfeld",R,"Aug20,2019",1h42m,,"Katie Silberman, Emily Halpern, Sarah Haskins, Susanna Fogel",102.0,"May24,2019 ",wide,1,1
8,97 ,345,/m/the_farewell_2019,The Farewell,2019,Scope(2.35:1),17700000.0,Lulu Wang,A24,Comedy,English,"Chris Weitz, Andrew Miano, Peter Saraf, Marc Turtletaub, Anita Gou, Daniele Tate Melia, Jane Zheng, Dani Melia",PG,"Aug27,2019",1h40m,,Lulu Wang,100.0,"Aug2,2019 ",wide,1,1
9,95 ,372,/m/a_beautiful_day_in_the_neighborhood,A Beautiful Day in the Neighborhood,2019,Flat(1.85:1),61700000.0,Marielle Heller,Tri Star Pictures,Biography,English,"Youree Henley, Peter Saraf, Marc Turtletaub, Leah Holzer",PG,"Nov22,2019",1h47m,,"Noah Harpster, Micah Fitzerman- Blue, Tom Junod",107.0,"Nov22,2019 ",wide,1,1
10,94 ,392,/m/marriage_story_2019,Marriage Story,2019,,,Noah Baumbach,Netflix,Comedy,English,"Noah Baumbach, David Heyman",R,"Dec6,2019",2h16m,,Noah Baumbach,136.0,"Nov6,2019 ",limited,1,0
11,95 ,363,/m/if_beale_street_could_talk,If Beale Street Could Talk,2019,,14900000.0,Barry Jenkins,Annapurna Pictures,Crime,English,"Adele Romanski, Sara Murphy, Barry Jenkins, Dede Gardner, Jeremy Kleiner",R,"Mar12,2019",1h59m,,Barry Jenkins,119.0,"Jan11,2019 ",wide,1,1
12,85 ,571,/m/once_upon_a_time_in_hollywood,Once Upon a Time In Hollywood,2019,Scope(2.35:1),142400000.0,Quentin Tarantino,Columbia Pictures,Comedy,English,"David Heyman, Shannon Mc Intosh, Quentin Tarantino",R,"Aug27,2019",2h39m,Dolby Digital,Quentin Tarantino,159.0,"Jul26,2019 ",wide,1,1
13,90 ,452,/m/spider_man_far_from_home,Spider-Man: Far From Home,2019,Scope(2.35:1),390700000.0,Jon Watts,Sony Pictures Entertainment,Comedy,English,"Kevin Feige, Amy Pascal",PG-13,"Aug27,2019",2h9m,"Dolby Digital, Dolby Atmos","Chris Mc Kenna, Erik Sommers",129.0,"Jul2,2019 ",wide,1,1
14,96 ,299,/m/pain_and_glory,Pain and Glory Dolor y gloria,2019,Flat(1.85:1),4600000.0,Pedro Almodóvar,Sony Pictures Classics,Drama,Spanish(Spain),"Agustín Almodóvar, Esther García",R,"Nov8,2019",1h53m,"S D D S, Dolby Digital, D T S",Pedro Almodóvar,113.0,"Oct4,2019 ",limited,1,0
15,90 ,413,/m/shazam,Shazam!,2019,Scope(2.35:1),140400000.0,David F. Sandberg,Warner Bros. Pictures,Comedy,English,Peter Safran,PG-13,"Jul2,2019",2h12m,Dolby Atmos,Henry Gayden,132.0,"Apr5,2019 ",wide,1,1
16,92 ,355,/m/ford_v_ferrari,Ford v Ferrari,2019,Scope(2.35:1),117600000.0,James Mangold,20th Century Fox,Biography,English,"Peter Chernin, Jenno Topping, James Mangold",PG-13,"Nov15,2019",2h32m,Dolby Atmos,"Jez Butterworth, John- Henry Butterworth, Jason Keller",152.0,"Nov15,2019 ",wide,1,1
17,97 ,233,/m/dolemite_is_my_name,Dolemite Is My Name,2019,,,Craig Brewer,Netflix,Comedy,English,"John Davis, John Fox",R,"Oct25,2019",1h58m,,"Scott Alexander, Larry Karaszewski",118.0,"Oct4,2019 ",limited,1,0
18,92 ,342,/m/uncut_gems,Uncut Gems,2019,Scope(2.35:1),50000000.0,"Ben Safdie, Joshua Safdie",A24,Mystery&thriller,English,"Sebastian Bear- Mc Clard, Oscar Boyson",R,"Dec13,2019",2h15m,"Dolby Atmos, Dolby Digital",,135.0,"Dec25,2019 ",wide,1,1
19,99 ,186,/m/apollo_11_2019,Apollo 11,2019,,9000000.0,Todd Douglas Miller,C N N Films,Documentary,English,"Todd Douglas Miller, Thomas Petersen, Evan Krauss",G,"May14,2019",1h33m,Dolby Digital,,93.0,"Mar8,2019 ",wide,1,1
20,90 ,382,/m/the_lighthouse_2019,The Lighthouse,2019,,10900000.0,Robert Eggers,A24,Mystery&thriller,English,"Jay Van Hoy, Lourenço Sant' Anna, Youree Henley, Rodrigo Teixeira",R,"Oct18,2019",1h50m,,"Robert Eggers, Max Eggers",110.0,"Oct25,2019 ",wide,1,1
21,89 ,392,/m/rocketman_2019,Rocketman,2019,Scope(2.35:1),96300000.0,Dexter Fletcher,Paramount Pictures,Biography,English,"Matthew Vaughn, David Furnish, Adam Bohling, David Reid",R,"Aug6,2019",2h1m,,Lee Hall,121.0,"May31,2019 ",wide,1,1
22,99 ,160,/m/amazing_grace_2018,Amazing Grace,2019,,4500000.0,Alan Elliott,,Documentary,English,"Joe Boyd, Alan Elliott, Aretha Franklin, Rob Johnson, Chiemi Karasawa, Sabrina V. Owens, Jerry Wexler, Tirrell D. Whittley, Joseph Woolf",G,"Aug6,2019",1h27m,,,87.0,"Nov23,2018 ",limited,1,0
23,99 ,156,/m/they_shall_not_grow_old,They Shall Not Grow Old,2019,,18000000.0,Peter Jackson,Warner Bros. Pictures,Documentary,English(UnitedKingdom),"Peter Jackson, Clare Olssen",R,"Mar12,2019",1h39m,"Dolby Atmos, Dolby Digital","Peter Jackson, Clare Olssen",99.0,"Feb1,2019 ",wide,1,1
24,99 ,154,/m/ash_is_purest_white,Ash Is Purest White,2019,Flat(1.85:1),416000.0,Zhang Ke Jia,Cohen Media Group,Drama,Chinese,Shozo Ichiyama,,"Jul16,2019",2h21m,,Zhang Ke Jia,141.0,"Mar15,2019 ",limited,1,0
25,100 ,131,/m/honeyland,Honeyland,2019,,808500.0,"Ljubo Stefanov, Tamara Kotevska",Neon,Documentary,Turkish,"Ljubo Stefanov, Atanas Georgiev",,"Oct22,2019",1h25m,,,85.0,"Jul26,2019 ",limited,1,0
26,95 ,237,/m/honey_boy,Honey Boy,2019,Scope(2.35:1),3000000.0,Alma Har'el,Amazon Studios,Drama,English,"Brian Kavanaugh- Jones, Daniela Taplin Lundberg, Anita Gou, Chris Leggett, Alma Har'el",R,"Feb5,2020",1h33m,Dolby Atmos,Shia La Beouf,93.0,"Nov8,2019 ",limited,1,0
